Al,Ap,cost,Xtau,XN,Newtau,NewN,xx,yy,zz,fev,,,,,,
1.394410789,1.247786177,0.010748003,3.19563255,8,5.051659194,11,-0.086013865,-0.022226443,-0.978503994,51309,,25.5650604,55.56825114,,,
3.137116601,1.870671503,0.011063207,2.555006158,8,4.734064592,20,-0.08068449,0.002851877,-0.977873586,50202,,20.44004926,94.68129184,,,
1.570157512,1.827178826,0.011398519,1.339620533,14,2.213767933,14,-0.103344722,-0.010595829,-0.977202962,39175,,18.75468746,30.99275106,,,
2.579739404,0.673724136,0.013812329,2.739254388,13,4.306209389,16,-0.02797068,-0.002000599,-0.972375342,50285,,35.61030704,68.89935023,,,
1.338068837,0.729053547,0.014325682,4.157196596,11,0.461074552,8,-0.028519257,6.51E-05,-0.971348637,37787,,45.72916255,3.688596418,,,
1.377535203,1.599412799,0.017576938,1.346688969,24,0.457070796,4,-0.06256175,-0.005235205,-0.964846124,34086,,32.32053526,1.828283186,,,
1.908618013,0.568908228,0.018453936,2.998545472,11,0.43593558,17,-0.030110361,0.002541211,-0.963092127,59764,,32.9840002,7.41090486,,,
1.488998558,1.782813188,0.019969866,1.337870561,20,0.484218769,14,-0.126085831,0.022153698,-0.960060268,37086,,26.75741121,6.779062762,,,
2.900426908,1.52731644,0.022873044,2.625,8,0.395710245,23,-0.046571924,0.000143858,-0.954253911,57250,,21,9.101335637,,,
2.639415524,1.580129493,0.023165741,4.240007297,11,2.719300949,5,-0.052476126,-0.0005109,-0.953668518,46382,,46.64008027,13.59650475,,,
0.8734948,1.781517403,0.023881147,2.467991453,10,2.457578956,10,-0.114297548,-5.45E-05,-0.952237706,27333,,24.67991453,24.57578956,,,
4.084154218,0.915541295,0.024612904,2.963181487,13,1.643917686,10,-0.012275782,0.000145067,-0.950774192,34811,,38.52135933,16.43917686,,,
2.646021997,1.223930759,0.027559776,2.725275189,7,2.725257048,7,-0.040133328,-3.27E-07,-0.944880448,56308,,19.07692632,19.07679933,,,
3.069693302,0.890404325,0.029038975,4.06,8,5.531634795,23,0.010279092,0.000583122,-0.94192205,57037,,32.48,127.2276003,,,
2.222699546,0.582053134,0.030549967,2.878868348,11,5.342395537,14,-0.005806743,-0.002661828,-0.938900066,51341,,31.66755183,74.79353751,,,
2.938143144,1.509135609,0.037013718,2.626647567,11,4.856355489,8,-0.056434902,0.000134767,-0.925972565,55598,,28.89312324,38.85084391,,,
2.092008405,0.568388505,0.045819825,2.930187463,11,5.434512289,14,-0.002546103,-0.003455168,-0.908360351,53188,,32.2320621,76.08317205,,,
1.138813848,0.316559345,0.045918892,0.483,19,0.48514313,16,-0.011887931,6.27E-06,-0.908162216,23705,,9.177,7.762290082,,,
1.226875206,1.331168292,0.049232969,1.398257368,20,0.509470757,14,-0.088079982,0.012754328,-0.901534061,30507,,27.96514736,7.132590602,,,
3.540710456,0.371083414,0.055984788,1.754816985,24,1.754576547,22,-0.006804749,1.54E-06,-0.888030424,49541,,42.11560765,38.60068404,,,
3.7461843,0.384067951,0.056039892,1.715489037,24,1.715252609,22,-0.00611453,1.61E-06,-0.887920216,46954,,41.1717369,37.7355574,,,
2.125479025,0.63360109,0.066678809,2.911921202,8,0.423736027,17,-0.026855485,0.001129885,-0.866642381,58170,,23.29536961,7.203512461,,,
2.494011523,0.374530362,0.067876002,2.780731163,24,2.779570337,16,-0.010280471,-4.89E-06,-0.864247996,49581,,66.7375479,44.47312539,,Total,75
3.077994229,0.680944206,0.09428112,4.06,11,5.529708588,20,0.006810284,0.00256727,-0.81143776,65151,,44.66,110.5941718,,fi 90%,62
4.622671886,0.939942461,0.121034811,4.050794139,11,5.303818859,8,-0.008246671,0.00165511,-0.757930378,28509,,44.55873553,42.43055087,,fi 99%,38
3.396850533,0.361816168,0.122791194,1.776178121,20,0.353266641,23,-0.009772433,-0.001398728,-0.754417611,54303,,35.52356243,8.12513274,,Decoherence,39
5.024402393,1.210500244,0.158934478,3.904843585,23,4.496447494,14,-0.031497648,-0.009372232,-0.682131044,39194,,89.81140246,62.95026492,,,
3.109226459,0.368830391,0.16365353,4.05,14,1.845257545,23,-0.008142923,0.00062937,-0.67269294,64286,,56.7,42.44092354,,,
4.046697404,0.52723933,0.163937088,2.980035171,22,1.652897075,10,-0.005263617,-0.00011651,-0.672125824,30900,,65.56077376,16.52897075,,,
3.742574134,0.413480355,0.174508126,1.707869418,14,0.33957317,23,-0.010048571,-0.001964013,-0.650983748,46004,,23.91017186,7.81018291,,,
2.875330416,0.545862716,0.177633333,4.16,8,2.642004959,23,-0.015338489,-0.000571538,-0.644733334,54099,,33.28,60.76611406,,,
1.980105581,0.396303188,0.190106358,2.975415099,14,5.519075999,14,-0.000288681,-0.001966066,-0.619787284,56066,,41.65581138,77.26706399,,,
3.039974449,0.371602491,0.267550206,4.076588528,22,0.366995954,10,-0.006030285,-0.000772405,-0.464899588,57303,,89.68494761,3.669959539,,,
4.798619047,0.529838389,0.284864151,3.9849007,8,2.761021275,17,-0.006009236,-0.001079299,-0.430271698,31482,,31.8792056,46.93736168,,,
4.846554339,0.458050822,0.306346937,3.971445094,24,0.302517413,10,-0.005313883,-0.001157857,-0.387306125,32424,,95.31468225,3.025174134,,,
4.800426058,0.482761438,0.367075383,3.98776627,16,7.062183669,19,-0.004816033,-0.001308833,-0.265849233,36638,,63.80426031,134.1814897,,,
4.579091266,0.374688682,0.422363827,4.076951413,17,4.707858599,23,-0.002233652,-0.000512135,-0.155272346,36154,,69.30817402,108.2807478,,,
