cost, Xtau, XN, Ztau, ZN
0.7761332597960577,4.82,25.0,4.82e-20,25.0
0.1813771174789831,4.82,13.0,4.82e-20,25.0
0.5001792992090135,5.1815,19.0,0.6025,19.0
0.49685280669371124,5.543,1.0,2.41,13.0
0.5003007388189619,4.82,1.0,2.41,13.0
0.4976643621719611,4.82,1.0,2.41,1.0
0.5062007818106162,5.1815,7.0,1.8075,7.0
0.5086867232548391,5.543,1.0,1.205,25.0
0.5028273170890517,4.82,1.0,2.41,25.0
0.5008963299290393,4.82,1.0,1.205,25.0
0.5031464604012397,5.1815,7.0,1.8075,19.0
0.4995610914429174,4.82,1.0,4.82e-20,25.0
0.4992965848712827,5.1815,7.0,0.6025,19.0
0.49953308788635475,4.097,25.0,1.205,13.0
0.5000021701885062,4.097,25.0,4.82e-20,13.0
0.49947114246422386,4.097,25.0,1.205,1.0
0.5023941783025268,4.458500000000001,19.0,0.6025,7.0
0.4998811560391885,4.097,25.0,2.41,13.0
0.4949698022074567,4.097,13.0,2.41,13.0
0.4954979898285279,4.097,13.0,2.41,1.0
0.5002866580859635,4.458500000000001,19.0,1.8075,7.0
0.4995942706579348,4.097,25.0,1.205,25.0
0.4947216379523207,4.097,13.0,2.41,25.0
0.48963654610257135,4.097,13.0,1.205,25.0
0.5005361979209595,4.458500000000001,19.0,1.8075,19.0
0.503555954146844,4.097,13.0,4.82e-20,25.0
0.49776432049244923,4.458500000000001,19.0,0.6025,19.0
0.5031202470335399,4.097,1.0,2.41,13.0
0.4997666903568605,4.458500000000001,7.0,1.8075,7.0
0.4918581101777759,4.097,1.0,1.205,25.0
0.4996166847540344,4.458500000000001,7.0,1.8075,19.0
0.49702869223312773,4.458500000000001,7.0,0.6025,19.0
0.7697801311789857,4.82,7.0,0.6025,7.0
0.963267946564908,4.82,13.0,0.6025,7.0
0.22792803321764277,4.82,13.0,1.205,7.0
0.3930037314416849,4.82,13.0,0.6025,13.0
0.12195437120069585,4.82,7.0,1.205,7.0
0.7876334128642194,4.82,7.0,1.205,13.0
0.5799740906097465,4.82,7.0,0.6025,13.0
0.5008989255782843,4.458500000000001,13.0,0.6025,7.0
0.4971340500136753,4.458500000000001,13.0,1.205,7.0
0.5015640767440757,4.458500000000001,13.0,1.205,13.0
0.5009674402906243,4.458500000000001,13.0,0.6025,13.0
0.49677774936002894,4.458500000000001,7.0,1.205,7.0
0.5007442309736242,4.458500000000001,7.0,1.205,13.0
0.5005472292404917,4.458500000000001,7.0,0.6025,13.0
0.4999788983966388,4.6392500000000005,10.0,0.90375,10.0
0.4869171348948016,4.097,7.0,0.6025,7.0
0.49948757639210306,4.097,1.0,0.6025,7.0
0.49653886677619785,4.097,1.0,4.82e-20,7.0
0.5164337648469622,4.097,1.0,0.6025,1.0
0.5005074908575848,4.097,7.0,4.82e-20,7.0
0.5005074908575851,4.097,7.0,4.82e-20,1.0
0.5095053406334125,4.097,7.0,0.6025,1.0
0.4985367193638558,4.458500000000001,1.0,0.6025,7.0
0.49981346420110584,4.458500000000001,1.0,4.82e-20,7.0
0.49981346420110584,4.458500000000001,1.0,4.82e-20,1.0
0.49663705766656996,4.458500000000001,1.0,0.6025,1.0
0.49958473761466893,4.458500000000001,7.0,4.82e-20,7.0
0.49958473761466893,4.458500000000001,7.0,4.82e-20,1.0
0.4961554025404663,4.458500000000001,7.0,0.6025,1.0
0.500136738409628,4.27775,4.0,0.30125,4.0
0.48371598457134635,4.097,13.0,0.6025,7.0
0.5042194153624162,4.097,13.0,1.205,7.0
0.497451154030789,4.097,13.0,0.6025,13.0
0.5138340727213844,4.097,7.0,1.205,7.0
0.48549694905996454,4.097,7.0,1.205,13.0
0.4922472357757798,4.097,7.0,0.6025,13.0
0.5011570597124506,4.27775,10.0,0.90375,10.0
0.5139819834879628,4.097,1.0,1.205,7.0
0.4918304575094916,4.097,1.0,0.6025,13.0
0.4974945927639124,4.458500000000001,1.0,1.205,7.0
0.4999242875922031,4.458500000000001,1.0,1.205,13.0
0.5002341180031484,4.458500000000001,1.0,0.6025,13.0
0.4998481765610602,4.27775,4.0,0.90375,10.0
0.5005074908575851,4.097,7.0,4.82e-20,13.0
0.49981346420110584,4.458500000000001,1.0,4.82e-20,13.0
0.49958473761466893,4.458500000000001,7.0,4.82e-20,13.0
0.5000377221974388,4.27775,4.0,0.30125,10.0
0.4852721277401826,4.097,7.0,1.205,1.0
0.4997993633226926,4.458500000000001,1.0,1.205,1.0
0.5006602623134755,4.458500000000001,7.0,1.205,1.0
0.49970332150633134,4.27775,4.0,0.90375,4.0
0.503555954146844,4.097,13.0,4.82e-20,7.0
0.4996685010730465,4.458500000000001,13.0,4.82e-20,7.0
0.4996685010730464,4.458500000000001,13.0,4.82e-20,13.0
0.49949866459004055,4.27775,10.0,0.30125,10.0
0.4966815405314199,4.097,13.0,0.6025,1.0
0.4996685010730465,4.458500000000001,13.0,4.82e-20,1.0
0.497001800052399,4.458500000000001,13.0,0.6025,1.0
0.49912896909578175,4.27775,10.0,0.30125,4.0
0.5015439241731181,4.458500000000001,13.0,1.205,1.0
0.4997986023286558,4.27775,10.0,0.90375,4.0
0.48671067791975864,4.82,1.0,0.6025,7.0
0.4763074756746247,4.82,1.0,1.205,7.0
0.5032261055478778,4.82,1.0,0.6025,13.0
0.4998878484463647,4.6392500000000005,4.0,0.90375,10.0
0.4995610914429174,4.82,1.0,4.82e-20,7.0
0.3871695374504486,4.82,7.0,4.82e-20,7.0
0.3871695374504486,4.82,7.0,4.82e-20,13.0
0.5000626623413084,4.6392500000000005,4.0,0.30125,10.0
0.46950242117781205,4.82,1.0,0.6025,1.0
0.3871695374504486,4.82,7.0,4.82e-20,1.0
0.2674334217471124,4.82,7.0,0.6025,1.0
0.5000574099557653,4.6392500000000005,4.0,0.30125,4.0
0.7987804545036898,4.82,7.0,1.205,1.0
0.5001585289154464,4.6392500000000005,4.0,0.90375,4.0
0.1813771174789831,4.82,13.0,4.82e-20,7.0
0.500008982879578,4.6392500000000005,10.0,0.30125,10.0
0.5496343531548118,4.82,13.0,0.6025,1.0
0.5000201956818384,4.6392500000000005,10.0,0.30125,4.0
0.49998544880669393,4.6392500000000005,10.0,0.90375,4.0
0.5299977227462234,4.82,19.0,1.8075,19.0
0.936559830021944,4.82,13.0,1.8075,19.0
0.2709206142608003,4.82,13.0,1.205,19.0
0.7358942700973398,4.82,13.0,1.8075,13.0
0.6669196270034046,4.82,19.0,1.205,19.0
0.36116171714329304,4.82,19.0,1.205,13.0
0.3627951001264045,4.82,19.0,1.8075,13.0
0.5016231332034348,5.1815,13.0,1.8075,19.0
0.49821824735839293,5.1815,13.0,1.205,19.0
0.5146324737872245,5.1815,13.0,1.205,13.0
0.5069221601042895,5.1815,13.0,1.8075,13.0
0.4978915304137501,5.1815,19.0,1.205,19.0
