Al,Ap,cost,Xtau,XN,Ztau,ZN,xx,yy,zz,fev
3.3499636957205245,1.2124603604109805,0.0562715625895806,3.9250000000000007,25.0,8.904843764901162,10.0,-0.0571895367806933,0.001210827870339,-0.8874568748208386,55447
2.382354426616964,0.9327950890556352,0.0018673844378541,2.799856286817189,11.0,6.0170393226323,14.0,-0.0005686480992943,0.0086367705899894,-0.996265231124299,46623
0.7389253138055258,1.569882725170836,0.0115025272251737,2.5030494728816826,7.0,5.550782963484575,10.0,0.0415416689438925,0.045734955187943,-0.9769949455496504,32067
3.7248530214790185,1.731727497094484,0.0030800747421394,0.3501140194227835,16.0,1.02,19.0,0.0281925834665812,0.024146710284337,-0.9938398505157344,26338
1.0103018736808456,1.4203913214517228,0.0087913085882131,4.363269079611343,8.0,6.290114011835094,5.0,-0.0267076720079185,-0.0160953272304191,-0.9824173828235752,42529
4.220764202186837,0.459581337579161,0.1009134928041927,2.931151949869184,14.0,4.8863205811210895,51.0,-0.0175145066272187,0.0004942826480273,-0.7981730143915957,50736
0.8605714864149977,0.8064872320596351,0.0082309068295041,1.4795420279618496,14.0,2.494026857704991,14.0,-0.0569413398881392,0.0130882244460816,-0.983538186341021,46293
3.042257796964309,1.633322675622405,0.0042765893686919,2.585531884188224,8.0,5.539805602992385,33.0,0.0356400899336774,-0.0192963723265991,-0.9914468212626288,64278
2.1303764558393743,0.6860636691372177,0.0010626773850103,2.9034937293590946,11.0,6.219168363259648,14.0,-0.0058185064532427,0.0019557348887902,-0.9978746452299664,33486
0.9305411799642962,0.7248812344529897,0.0013680873359734,0.47953125,13.0,1.480256508999752,10.0,-0.0082705500922624,-0.0033009198427504,-0.9972638253280558,30691
1.8338358578997025,1.1960249994130816,0.0045654251213079,3.886071644546375,14.0,7.328218078117347,42.0,-0.0601506486284665,-0.0160116064518859,-0.9908691497573988,49495
3.224013898414007,1.5767047717950815,0.0169005899625188,0.35791407623923,7.0,0.378,10.0,-0.051492615869658,-0.0002759281401017,-0.966198820074969,26726
1.687790599870834,0.5286103168483687,0.0024186164356672,3.9638945058402526,14.0,7.497096326161503,61.0,-0.0175799044849801,-0.0021424972330823,-0.9951627671286696,51414
3.7053938081926088,1.6602774145699606,0.0164725505131508,0.34284375,7.0,1.0332498033873103,19.0,0.0457409703996083,-0.0050255813548518,-0.9670548989736778,36740
3.385571401949953,1.684733025567147,0.0166469671346045,3.2008191279888085,11.0,5.315027285956987,5.0,-0.0242313702603748,-0.0007497982142482,-0.9667060657307938,43609
0.4370506205434987,0.8233379167627609,0.0016221023434404,2.6613332261807514,20.0,3.745789601274614,42.0,0.0273236181637177,-0.0174613434381291,-0.9967557953131077,42059
1.629223538853361,0.3237622218963555,0.0254228979231472,4.00534336847237,17.0,6.681792902913414,51.0,-0.0226092833384534,-0.0018309960847724,-0.9491542041537214,59683
4.538245188395658,1.739763479171879,0.003698693300107,0.3067359247859373,10.0,0.945,28.0,0.0084163879052458,0.02075803501886,-0.9926026133997972,33630
3.928598012761852,0.6989145556891246,0.015275103683028,1.6812427717839789,14.0,4.36591534310669,24.0,-0.030321264307529,0.0055889862034226,-0.9694497926339666,55237
0.4366061245106953,1.2457792814762256,0.0021144796329336,3.703195026301852,17.0,7.974476024365648,61.0,0.0008584114987031,-0.0020656219285093,-0.9957710407341428,40508
2.7047811564906072,1.68784964307786,0.0586629279975556,4.985,5.0,13.38966164992381,5.0,-0.0349438532585815,0.0018634938683749,-0.8826741440048944,49532
3.694782428556963,1.5336793556915451,0.001290883003127,3.0750941898159136,11.0,1.7127166251892996,33.0,-0.0279393391195551,-0.0008613111287361,-0.9974182339937376,69742
2.0662626364962065,0.4030240804416785,0.1285016371371392,2.935760822102078,19.0,0.4309301911432811,47.0,-0.015181711038045,0.0009295958839196,-0.742996725725724,26150
